case_id,label,actual_llm,response_time_seconds,prompt_tokens,completion_tokens,total_tokens
1a082d07-0093-49b6-ab9c-cb13dc526a96,Letter C,gemini,8.174,1377,131,2421
fe4d7ac3-7be7-42c1-8bea-73745aa89a47,Letter A,gemini,6.191,1356,116,2370
fe4d7ac3-7be7-42c1-8bea-73745aa89a47,Letter D,gpt4o,2.286,516,134,650
fe4d7ac3-7be7-42c1-8bea-73745aa89a47,Letter C,gpt4o_mini,3.237,8761,115,8876
fe4d7ac3-7be7-42c1-8bea-73745aa89a47,Letter B,llama,0.652,325,166,491
b8958958-cabb-49f1-a361-69b546e5ab67,Letter B,gpt4o,3.066,1366,122,1488
b8958958-cabb-49f1-a361-69b546e5ab67,Letter D,gpt4o_mini,5.441,37096,116,37212
b8958958-cabb-49f1-a361-69b546e5ab67,Letter A,llama,0.663,325,171,496
b8958958-cabb-49f1-a361-69b546e5ab67,Letter C,gemini,8.696,1347,123,2573
2c1b9922-abf2-46b3-96c3-5892af4cb4a6,Letter A,gpt4o,2.741,1026,109,1135
2c1b9922-abf2-46b3-96c3-5892af4cb4a6,Letter D,gpt4o_mini,4.424,25762,121,25883
2c1b9922-abf2-46b3-96c3-5892af4cb4a6,Letter B,llama,0.739,325,160,485
2c1b9922-abf2-46b3-96c3-5892af4cb4a6,Letter C,gemini,8.733,1355,121,2396
d14ab608-2bdd-4f23-b3f1-54b264804bd2,Letter B,gpt4o,3.908,1026,115,1141
d14ab608-2bdd-4f23-b3f1-54b264804bd2,Letter C,gpt4o_mini,5.648,25762,124,25886
d14ab608-2bdd-4f23-b3f1-54b264804bd2,Letter D,llama,0.871,325,181,506
d14ab608-2bdd-4f23-b3f1-54b264804bd2,Letter A,gemini,6.964,1355,112,2319
8a6c1544-73ff-4908-848b-313d82935cfa,Letter C,gpt4o,3.359,1026,117,1143
8a6c1544-73ff-4908-848b-313d82935cfa,Letter A,gpt4o_mini,4.302,25762,116,25878
8a6c1544-73ff-4908-848b-313d82935cfa,Letter B,llama,0.78,325,154,479
8a6c1544-73ff-4908-848b-313d82935cfa,Letter D,gemini,9.075,1378,118,2664
82fe1390-376e-4cf2-94a3-9504e206205a,Letter A,gpt4o,4.258,1070,151,1221
82fe1390-376e-4cf2-94a3-9504e206205a,Letter C,gpt4o_mini,4.451,25806,140,25946
82fe1390-376e-4cf2-94a3-9504e206205a,Letter B,llama,0.905,369,170,539
82fe1390-376e-4cf2-94a3-9504e206205a,Letter D,gemini,7.989,1397,152,2670
cca92e18-b3c5-445f-a8be-e987c51682c2,Letter A,gpt4o,2.842,1070,130,1200
cca92e18-b3c5-445f-a8be-e987c51682c2,Letter D,gpt4o_mini,4.028,25806,136,25942
cca92e18-b3c5-445f-a8be-e987c51682c2,Letter B,llama,0.647,369,165,534
cca92e18-b3c5-445f-a8be-e987c51682c2,Letter C,gemini,7.734,1398,126,2759
f880b442-c4e2-4b99-9e1c-7b67cf2acf36,Letter B,gpt4o,3.963,1070,135,1205
f880b442-c4e2-4b99-9e1c-7b67cf2acf36,Letter C,gpt4o_mini,5.08,25806,151,25957
f880b442-c4e2-4b99-9e1c-7b67cf2acf36,Letter A,llama,0.721,369,160,529
f880b442-c4e2-4b99-9e1c-7b67cf2acf36,Letter D,gemini,8.516,1373,152,2686
19f718b2-12cd-4413-96d1-501bac7d66ab,Letter C,gpt4o,17.417,1410,128,1538
19f718b2-12cd-4413-96d1-501bac7d66ab,Letter A,gpt4o_mini,3.213,37140,118,37258
19f718b2-12cd-4413-96d1-501bac7d66ab,Letter D,llama,0.901,369,172,541
19f718b2-12cd-4413-96d1-501bac7d66ab,Letter B,gemini,9.682,1389,131,2706
62c12729-ffab-4b57-aea3-57936448c1e0,Letter A,gpt4o,4.973,560,136,696
62c12729-ffab-4b57-aea3-57936448c1e0,Letter C,gpt4o_mini,2.618,8805,115,8920
62c12729-ffab-4b57-aea3-57936448c1e0,Letter B,llama,0.707,369,174,543
62c12729-ffab-4b57-aea3-57936448c1e0,Letter D,gemini,10.384,1398,123,2522
48695a32-9ad9-4bbd-bfbc-e9ab08b8fcaa,Letter C,gpt4o,7.16,1070,169,1239
48695a32-9ad9-4bbd-bfbc-e9ab08b8fcaa,Letter A,gpt4o_mini,3.438,25806,131,25937
48695a32-9ad9-4bbd-bfbc-e9ab08b8fcaa,Letter D,llama,0.683,369,177,546
48695a32-9ad9-4bbd-bfbc-e9ab08b8fcaa,Letter B,gemini,8.984,1373,148,2677
44e98325-2143-4537-92a9-18f7e71d5df8,Letter C,gpt4o,2.822,1011,129,1140
44e98325-2143-4537-92a9-18f7e71d5df8,Letter D,gpt4o_mini,2.908,25747,116,25863
44e98325-2143-4537-92a9-18f7e71d5df8,Letter A,llama,0.719,310,167,477
44e98325-2143-4537-92a9-18f7e71d5df8,Letter B,gemini,8.45,1339,110,2408
494021f3-775e-4acd-b658-8f884fe17ad2,Letter A,gpt4o,2.009,1011,110,1121
494021f3-775e-4acd-b658-8f884fe17ad2,Letter B,gpt4o_mini,2.652,25747,111,25858
494021f3-775e-4acd-b658-8f884fe17ad2,Letter D,llama,0.768,310,158,468
494021f3-775e-4acd-b658-8f884fe17ad2,Letter C,gemini,7.476,1338,103,2263
9cc1066d-05d1-4f10-848c-8079d8ec9556,Letter A,gpt4o_mini,2.664,25747,104,25851
9cc1066d-05d1-4f10-848c-8079d8ec9556,Letter D,llama,0.642,310,170,480
9cc1066d-05d1-4f10-848c-8079d8ec9556,Letter B,gpt4o,6.277,1011,101,1112
9cc1066d-05d1-4f10-848c-8079d8ec9556,Letter C,gemini,11.16,1338,104,2510
485e1c1a-82b6-4874-b088-13021a41e85c,Letter B,gpt4o,9.061,501,124,625
485e1c1a-82b6-4874-b088-13021a41e85c,Letter A,gpt4o_mini,1.947,8746,106,8852
485e1c1a-82b6-4874-b088-13021a41e85c,Letter C,llama,0.758,310,185,495
485e1c1a-82b6-4874-b088-13021a41e85c,Letter D,gemini,8.562,1338,97,2172
ff51abb5-6da8-423c-aa40-d59b71866de3,Letter C,gpt4o,6.864,1011,112,1123
ff51abb5-6da8-423c-aa40-d59b71866de3,Letter D,gpt4o_mini,2.671,25747,124,25871
ff51abb5-6da8-423c-aa40-d59b71866de3,Letter A,llama,0.66,310,175,485
ff51abb5-6da8-423c-aa40-d59b71866de3,Letter B,gemini,9.113,1338,114,2838
2003d64c-7ca0-4db4-a10d-c7796bae89f7,Letter C,gpt4o,6.002,1011,117,1128
2003d64c-7ca0-4db4-a10d-c7796bae89f7,Letter B,gpt4o_mini,2.401,25747,99,25846
2003d64c-7ca0-4db4-a10d-c7796bae89f7,Letter A,llama,0.75,310,168,478
2003d64c-7ca0-4db4-a10d-c7796bae89f7,Letter D,gemini,7.576,1338,110,2352
7a4b5889-feca-42c1-b0d3-e6a1e785850f,Letter C,gpt4o,5.636,501,144,645
7a4b5889-feca-42c1-b0d3-e6a1e785850f,Letter B,gpt4o_mini,2.553,8746,106,8852
7a4b5889-feca-42c1-b0d3-e6a1e785850f,Letter D,llama,3.481,310,180,490
7a4b5889-feca-42c1-b0d3-e6a1e785850f,Letter A,gemini,9.499,1338,115,2497
ddc57d2a-296f-4dd9-8bce-5de99db02759,Letter D,gpt4o,5.307,501,153,654
ddc57d2a-296f-4dd9-8bce-5de99db02759,Letter C,gpt4o_mini,2.225,8746,109,8855
ddc57d2a-296f-4dd9-8bce-5de99db02759,Letter B,llama,0.913,310,180,490
ddc57d2a-296f-4dd9-8bce-5de99db02759,Letter A,gemini,9.465,1338,92,2504
62d7982e-6ce8-4b16-9bb2-88188dd78110,Letter A,gpt4o,8.961,1351,130,1481
62d7982e-6ce8-4b16-9bb2-88188dd78110,Letter D,gpt4o_mini,3.236,37081,121,37202
62d7982e-6ce8-4b16-9bb2-88188dd78110,Letter B,llama,0.726,310,167,477
62d7982e-6ce8-4b16-9bb2-88188dd78110,Letter C,gemini,38.952,1329,92,2475
db61ac8f-2025-475f-940d-c138ca79f858,Letter C,gpt4o,9.402,1011,121,1132
db61ac8f-2025-475f-940d-c138ca79f858,Letter B,gpt4o_mini,3.866,25747,111,25858
db61ac8f-2025-475f-940d-c138ca79f858,Letter D,llama,0.981,310,165,475
db61ac8f-2025-475f-940d-c138ca79f858,Letter A,gemini,8.11,1314,104,2448
6c58604a-d94e-44ed-ae72-3d4a363c8538,Letter A,gpt4o,4.594,1011,150,1161
6c58604a-d94e-44ed-ae72-3d4a363c8538,Letter B,gpt4o_mini,3.471,25747,112,25859
6c58604a-d94e-44ed-ae72-3d4a363c8538,Letter D,llama,0.498,310,156,466
6c58604a-d94e-44ed-ae72-3d4a363c8538,Letter C,gemini,9.383,1338,100,2472
30aff423-a0e2-437d-be3a-e5a14ee179be,Letter B,gpt4o,3.128,1011,109,1120
30aff423-a0e2-437d-be3a-e5a14ee179be,Letter D,gpt4o_mini,7.722,25747,111,25858
30aff423-a0e2-437d-be3a-e5a14ee179be,Letter A,llama,0.688,310,187,497
30aff423-a0e2-437d-be3a-e5a14ee179be,Letter C,gemini,10.822,1360,115,2907
a2a3df79-f20f-440d-9378-39d3c1eef0b7,Letter C,gpt4o,7.699,516,127,643
a2a3df79-f20f-440d-9378-39d3c1eef0b7,Letter D,gpt4o_mini,3.507,8761,117,8878
a2a3df79-f20f-440d-9378-39d3c1eef0b7,Letter A,llama,0.911,325,172,497
a2a3df79-f20f-440d-9378-39d3c1eef0b7,Letter B,gemini,8.327,1356,121,2414
01f01f2a-d545-4485-aedb-7bbad0e8d995,Letter A,gpt4o,2.713,1366,128,1494
01f01f2a-d545-4485-aedb-7bbad0e8d995,Letter C,gpt4o_mini,2.929,37096,115,37211
01f01f2a-d545-4485-aedb-7bbad0e8d995,Letter B,llama,0.661,325,155,480
01f01f2a-d545-4485-aedb-7bbad0e8d995,Letter D,gemini,8.76,1347,124,2237
a41e5ecd-a69f-4ae0-be34-6338268567d9,Letter C,gpt4o,6.445,1410,140,1550
a41e5ecd-a69f-4ae0-be34-6338268567d9,Letter A,gpt4o_mini,3.516,37140,134,37274
a41e5ecd-a69f-4ae0-be34-6338268567d9,Letter B,llama,0.835,369,174,543
a41e5ecd-a69f-4ae0-be34-6338268567d9,Letter D,gemini,10.245,1389,142,2814
2c38ae15-a16f-4e10-89e1-9fe4d81e527f,Letter A,gpt4o,11.15,1410,153,1563
2c38ae15-a16f-4e10-89e1-9fe4d81e527f,Letter D,gpt4o_mini,3.424,37140,127,37267
2c38ae15-a16f-4e10-89e1-9fe4d81e527f,Letter C,llama,0.597,369,145,514
2c38ae15-a16f-4e10-89e1-9fe4d81e527f,Letter B,gemini,7.993,1389,136,2561
e59505ca-3fb3-47c5-b5be-ea9a81d103c1,Letter D,gpt4o,2.963,1026,138,1164
e59505ca-3fb3-47c5-b5be-ea9a81d103c1,Letter A,gpt4o_mini,3.983,25762,115,25877
e59505ca-3fb3-47c5-b5be-ea9a81d103c1,Letter C,llama,0.671,325,168,493
e59505ca-3fb3-47c5-b5be-ea9a81d103c1,Letter B,gemini,7.33,1356,114,2403
e255a8d7-b596-478b-b9b9-c94cf144ad27,Letter C,gpt4o,8.704,1351,112,1463
e255a8d7-b596-478b-b9b9-c94cf144ad27,Letter B,gpt4o_mini,3.646,37081,109,37190
e255a8d7-b596-478b-b9b9-c94cf144ad27,Letter D,llama,0.848,310,161,471
e255a8d7-b596-478b-b9b9-c94cf144ad27,Letter A,gemini,8.373,1329,103,2442
8d31ee3e-d008-45a9-a9d0-35755f1d5fc8,Letter C,gpt4o,18.388,1011,122,1133
8d31ee3e-d008-45a9-a9d0-35755f1d5fc8,Letter D,gpt4o_mini,3.164,25747,110,25857
8d31ee3e-d008-45a9-a9d0-35755f1d5fc8,Letter B,llama,0.605,310,155,465
8d31ee3e-d008-45a9-a9d0-35755f1d5fc8,Letter A,gemini,8.4,1359,101,2597
1a2f0e13-e837-40a2-93d8-d8517c07c947,Letter B,gpt4o,3.058,1070,144,1214
1a2f0e13-e837-40a2-93d8-d8517c07c947,Letter C,gpt4o_mini,4.095,25806,126,25932
1a2f0e13-e837-40a2-93d8-d8517c07c947,Letter D,llama,0.724,369,160,529
1a2f0e13-e837-40a2-93d8-d8517c07c947,Letter A,gemini,10.525,1419,119,2571
c7def39b-0410-4169-bfd7-d6629b6b80cf,Letter D,gpt4o,3.604,1011,100,1111
c7def39b-0410-4169-bfd7-d6629b6b80cf,Letter C,gpt4o_mini,3.55,25747,120,25867
c7def39b-0410-4169-bfd7-d6629b6b80cf,Letter B,llama,0.703,310,167,477
c7def39b-0410-4169-bfd7-d6629b6b80cf,Letter A,gemini,8.716,1359,105,2473
d62beec6-79f1-4f85-839c-21d8a699ddfe,Letter C,gpt4o,2.452,1366,109,1475
d62beec6-79f1-4f85-839c-21d8a699ddfe,Letter A,gpt4o_mini,3.85,37096,123,37219
d62beec6-79f1-4f85-839c-21d8a699ddfe,Letter B,llama,0.648,325,168,493
d62beec6-79f1-4f85-839c-21d8a699ddfe,Letter D,gemini,7.268,1347,115,2459
